ID	DJ	GIC31	RW1	RW2	Rleg
COG1054	0	1	0	1	1
COG1055	1	1	0	1	1
COG1057	1	1	0	1	1
COG1058	0	1	0	1	1
COG1061	1	1	0	0	0
COG1062	1	0	0	0	1
COG1063	1	1	1	1	1
COG1064	1	1	1	1	1
COG1066	1	1	0	1	1
COG1067	1	0	0	0	0
COG1069	0	0	0	1	1
COG1070	1	1	0	1	1
COG1071	1	1	0	1	1
COG1072	0	0	0	0	1
COG1073	1	1	0	1	1
COG1074	1	1	0	1	1
COG1075	1	0	0	0	1
COG1076	1	0	0	0	1
COG1077	1	1	0	1	0
COG1078	0	1	0	1	0
COG1079	0	1	1	1	1
COG1080	0	1	1	1	1
COG1082	1	0	1	0	1
COG1086	1	1	0	1	1
COG1087	1	1	0	1	1
COG1088	1	1	1	1	1
COG1089	0	1	0	1	1
COG1090	1	1	0	1	1
COG1091	1	1	1	1	1
COG1092	1	0	0	0	1
COG1094	0	1	0	1	0
COG1098	0	1	0	1	0
COG1101	0	0	0	0	1
COG1104	1	1	0	1	1
COG1105	1	1	1	1	0
COG1108	1	1	0	1	1
COG1109	1	1	1	1	1
COG1112	1	0	0	0	0
COG1113	0	1	0	1	0
COG1114	0	1	0	1	0
COG1115	1	1	0	1	0
COG1116	1	0	0	0	1
COG1117	1	1	0	1	1
COG1118	1	0	0	0	1
COG1119	0	1	0	1	0
COG1120	1	1	0	1	1
COG1121	1	1	0	1	1
COG1122	0	1	0	1	1
COG1123	1	0	1	0	1
COG1124	0	0	0	0	1
COG1125	0	1	0	1	1
COG1126	1	1	0	1	1
COG1127	1	0	0	0	1
COG1129	1	1	1	1	1
COG1131	1	1	1	1	1
COG1132	1	1	1	1	1
COG1133	0	0	0	0	1
COG1134	1	1	1	1	1
COG1135	1	1	0	1	1
COG1136	1	1	0	1	1
COG1137	1	0	0	0	1
COG1138	1	0	0	0	1
COG1139	1	1	0	1	0
COG1141	0	1	0	1	0
COG1143	1	0	0	0	1
COG1145	1	0	0	0	1
COG1146	1	0	0	0	1
COG1151	1	0	0	0	0
COG1154	1	1	0	1	1
COG1157	1	1	0	1	1
COG1158	1	1	0	1	1
COG1159	1	1	0	1	1
COG1160	1	1	0	1	1
COG1161	0	1	0	1	0
COG1162	1	1	0	1	1
COG1164	0	1	0	1	1
